CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Num_Interactions_Last30Days,Avg_Response_Time_Min,Call_Resolution_Rate,CLV,Normalized_Response_Score,Engagement_Score,Sentiment_Score,Geography_Germany,Geography_Spain,Gender_Male,Customer_Lifecycle_Stage_At Risk,Customer_Lifecycle_Stage_Dormant,Customer_Lifecycle_Stage_Lead,Customer_Lifecycle_Stage_New,Predicted_Probability,Exited,Customer_Lifecycle_Stage
768,26,5,51116.26,1,1,1,70454.79,6,13.3,0.54,255581.30000000002,0.07518796992481203,2.631037593984963,0.4215,False,False,False,False,False,False,True,0.021399343,1,New
727,29,1,146652.01,1,1,1,173486.39,3,36.7,0.6,146652.01,0.02724795640326975,1.4454495912806542,-0.4585,False,False,False,False,False,False,True,0.05994682,0,New
629,40,6,0.0,2,1,1,139356.3,1,42.9,0.75,0.0,0.023310023310023312,0.7046620046620047,0.4215,False,False,False,False,True,False,False,0.1554943,0,Dormant
702,43,6,116121.67,1,1,0,61602.42,3,24.3,0.75,0.0,0.0411522633744856,1.5082304526748973,-0.4585,False,True,True,False,False,False,True,0.17262065,0,New
796,52,9,167194.36,1,1,1,62808.93,2,9.9,0.88,1504749.2399999998,0.10101010101010101,1.1722020202020202,0.5719,True,False,False,True,False,False,False,0.15024789,1,At Risk
530,41,4,0.0,2,0,1,147606.71,10,15.6,0.89,0.0,0.06410256410256411,4.368820512820513,0.5719,False,True,False,False,False,False,True,0.09949525,0,New
510,32,1,0.0,2,0,1,28515.17,8,20.2,0.5,0.0,0.04950495049504951,3.4099009900990103,-0.1027,False,False,False,False,True,False,False,0.03410252,0,Dormant
709,44,9,128601.98,1,1,0,117031.2,4,23.3,0.59,0.0,0.04291845493562232,1.8445836909871245,0.0,False,False,True,False,False,False,True,0.24316044,0,New
642,40,6,129502.49,2,0,1,86099.23,12,18.8,0.81,777014.9400000001,0.05319148936170213,5.134638297872341,-0.4585,True,False,False,False,False,False,False,0.15206072,1,Active
655,30,1,83173.98,2,1,1,184259.6,5,37.9,0.72,83173.98,0.026385224274406333,2.293277044854881,-0.1027,True,False,False,False,False,False,True,0.059613224,0,New
464,33,10,147493.7,2,1,0,100447.53,5,37.8,0.95,0.0,0.026455026455026457,2.385291005291005,0.4215,False,False,False,True,False,False,False,0.034255624,0,At Risk
617,61,3,113858.95,1,1,1,38129.22,10,21.3,0.71,341576.85,0.046948356807511735,4.293389671361502,-0.1027,False,True,True,True,False,False,False,0.05163942,0,At Risk
655,46,7,137145.12,1,1,0,115146.4,11,11.5,0.81,0.0,0.08695652173913043,4.741391304347826,-0.4585,True,False,False,False,False,True,False,0.88369983,1,Lead
709,26,6,156551.63,1,0,1,4410.77,12,19.9,0.5,939309.78,0.05025125628140704,5.010050251256282,0.0,False,False,True,False,False,False,True,0.005278023,0,New
642,48,9,118317.27,4,0,0,78702.98,2,24.4,0.61,0.0,0.04098360655737705,1.0521967213114753,-0.1027,False,False,True,True,False,False,False,0.9949092,1,At Risk
741,42,9,121056.63,2,1,0,39122.58,12,9.0,0.68,0.0,0.1111111111111111,5.094222222222223,-0.1027,False,True,False,False,False,False,True,0.24134415,0,New
415,53,5,167259.44,1,1,1,22357.25,10,33.9,0.69,836297.2,0.029498525073746312,4.281899705014749,0.5719,False,True,True,False,False,False,True,0.113043435,0,New
684,30,2,0.0,2,1,0,83473.82,12,23.3,0.99,0.0,0.04291845493562232,5.204583690987125,0.4754,False,False,True,False,False,False,False,0.0031333729,0,Active
706,29,2,0.0,2,1,1,18255.51,6,34.8,0.67,0.0,0.02873563218390805,2.6737471264367816,0.4754,False,True,True,False,False,True,False,0.006789614,0,Lead
634,45,2,0.0,1,1,1,143458.31,1,50.6,0.97,0.0,0.019762845849802372,0.7919525691699605,0.5719,False,False,False,False,False,False,True,0.30787197,0,New
813,29,6,0.0,1,1,0,33953.87,13,15.7,0.57,0.0,0.06369426751592357,5.440738853503185,-0.4585,False,False,True,False,True,False,False,0.4792235,0,Dormant
775,70,6,119684.88,2,1,1,74532.02,9,21.8,0.73,718109.28,0.04587155963302752,3.9011743119266056,-0.5267,True,False,True,False,False,False,False,0.025832765,0,Active
445,31,7,145056.59,1,1,1,175893.53,3,57.7,0.53,1015396.13,0.01733102253032929,1.415466204506066,0.4754,False,False,True,False,False,False,True,0.006157697,0,New
701,37,8,107798.85,1,1,0,16966.73,7,8.8,0.92,0.0,0.11363636363636363,3.190727272727273,-0.4585,False,False,True,False,False,False,False,0.1483963,0,Active
752,33,4,0.0,2,1,1,39570.78,6,33.4,0.64,0.0,0.029940119760479042,2.6619880239520963,0.0,False,False,True,False,False,False,True,0.0069029485,0,New
723,21,4,0.0,2,0,0,24847.02,5,39.6,0.81,0.0,0.025252525252525252,2.329050505050505,0.1779,False,False,True,False,False,False,False,0.0077956663,0,Active
806,34,6,0.0,2,0,0,100809.99,10,19.1,0.83,0.0,0.05235602094240837,4.342471204188482,0.0,False,False,True,False,True,False,False,0.020247377,0,Dormant
625,49,6,173434.9,1,1,0,165580.93,6,50.8,0.86,0.0,0.01968503937007874,2.747937007874016,0.4215,False,False,True,False,True,False,False,0.8799086,1,Dormant
712,44,2,0.0,2,0,0,45738.94,9,49.2,0.79,0.0,0.02032520325203252,3.9200650406504067,0.4754,False,True,False,False,False,False,True,0.100014165,0,New
571,22,3,108117.1,1,0,1,53328.7,14,48.2,0.8,324351.30000000005,0.02074688796680498,5.924149377593362,0.1779,False,True,False,False,False,True,False,0.06937011,0,Lead
639,37,4,116121.84,2,0,1,181850.74,4,42.0,0.83,464487.36,0.023809523809523808,1.936761904761905,0.4215,False,False,False,False,False,False,False,0.08741604,0,Active
627,44,5,0.0,2,1,0,82969.61,10,16.4,0.75,0.0,0.06097560975609757,4.312195121951219,-0.5267,False,False,False,False,True,False,False,0.2280299,1,Dormant
630,32,4,82034.0,1,0,0,146326.45,7,42.2,0.81,0.0,0.023696682464454975,3.1287393364928917,-0.1027,False,True,True,True,False,False,False,0.14828628,0,At Risk
578,23,8,0.0,2,1,0,112124.98,10,56.2,0.86,0.0,0.01779359430604982,4.34755871886121,0.4215,False,True,True,True,False,False,False,0.009927651,0,At Risk
679,39,6,0.0,2,1,0,12266.06,8,43.5,0.53,0.0,0.022988505747126436,3.4165977011494255,0.0,False,True,True,False,False,False,True,0.0337987,0,New
767,35,6,115576.44,1,0,1,27922.45,1,23.6,0.89,693458.64,0.0423728813559322,0.7644745762711864,0.4215,False,False,False,False,False,False,False,0.047404647,0,Active
762,35,3,119349.69,3,1,1,47114.18,6,9.6,0.78,358049.07,0.10416666666666667,2.732833333333334,-0.5267,False,True,False,False,False,False,True,0.9847344,1,New
734,39,6,0.0,1,1,1,95135.27,5,15.1,0.57,0.0,0.06622516556291391,2.2412450331125826,-0.4585,False,True,True,False,False,True,False,0.0850635,0,Lead
659,67,6,117411.6,1,1,1,45071.09,6,14.4,0.64,704469.6000000001,0.06944444444444445,2.6698888888888894,0.4215,True,False,True,False,False,False,False,0.15192802,1,Active
575,49,7,121205.15,4,1,1,168080.53,3,54.4,0.84,848436.0499999999,0.01838235294117647,1.5396764705882355,0.5719,True,False,True,False,False,False,True,0.9864288,1,New
580,35,1,102097.33,1,0,1,168285.85,2,50.4,0.92,102097.33,0.01984126984126984,1.171968253968254,0.5719,False,False,False,False,True,False,False,0.057683166,0,Dormant
766,41,0,0.0,2,0,1,34283.23,15,37.2,0.66,0.0,0.026881720430107524,6.269376344086022,0.0,False,True,True,False,False,True,False,0.014579345,0,Lead
850,38,3,54901.01,1,1,1,140075.55,11,20.9,0.99,164703.03,0.04784688995215311,4.805569377990431,-0.5267,True,False,True,False,False,True,False,0.0056632394,0,Lead
749,42,1,129776.72,2,0,1,143538.51,8,48.9,0.65,129776.72,0.02044989775051125,3.4640899795501023,0.5719,False,False,True,False,False,True,False,0.074094415,0,Lead
746,48,5,165282.42,1,1,0,153786.46,10,22.7,0.93,0.0,0.04405286343612335,4.380810572687224,0.1779,False,False,True,True,False,False,False,0.3565352,1,At Risk
718,37,8,0.0,2,1,1,142.81,6,44.4,0.98,0.0,0.022522522522522525,2.796504504504505,0.4215,False,False,True,True,False,False,False,0.019537129,0,At Risk
642,26,8,144238.7,1,1,1,184399.76,5,39.0,0.99,1153909.6,0.02564102564102564,2.401128205128205,-0.4585,False,True,True,False,False,True,False,0.05822845,0,Lead
558,33,0,108477.49,1,1,1,109096.71,10,35.7,0.78,0.0,0.028011204481792715,4.317602240896359,0.4215,False,False,True,False,False,False,True,0.029141115,1,New
531,64,2,175754.87,2,1,1,60721.4,14,26.6,0.72,351509.74,0.03759398496240601,5.895518796992482,-0.1027,True,False,False,False,True,False,False,0.13683292,0,Dormant
748,41,2,91621.69,1,1,1,71139.31,15,17.8,0.83,183243.38,0.056179775280898875,6.34323595505618,0.4754,False,False,False,False,False,True,False,0.044459175,0,Lead
664,36,1,0.0,2,1,1,95372.64,11,18.0,0.74,0.0,0.05555555555555555,4.707111111111112,0.4215,False,False,True,False,False,False,False,0.02318786,0,Active
511,75,9,105609.17,1,0,1,105425.18,7,41.0,0.58,950482.53,0.024390243902439025,3.036878048780488,-0.4585,True,False,False,False,True,False,False,0.21935731,0,Dormant
635,47,2,125724.95,2,1,0,63236.97,12,16.9,0.86,0.0,0.0591715976331361,5.155834319526628,0.4215,False,False,False,False,True,False,False,0.60667443,0,Dormant
571,34,1,99325.04,2,0,1,186052.15,3,40.1,0.94,99325.04,0.024937655860349125,1.5809875311720698,0.1779,False,False,True,True,False,False,False,0.015926678,0,At Risk
698,57,6,136325.48,2,1,1,72549.27,14,45.3,0.98,817952.8800000001,0.02207505518763797,5.996415011037528,-0.1027,False,False,True,True,False,False,False,0.2040633,1,At Risk
636,76,9,126534.6,1,1,1,39789.62,10,29.3,0.71,1138811.4000000001,0.034129692832764506,4.290825938566552,-0.5267,False,True,True,False,False,True,False,0.0013844273,0,Lead
538,33,5,0.0,2,1,0,126962.41,2,8.0,0.99,0.0,0.125,1.221,0.1779,False,False,False,False,False,False,False,0.007645859,0,Active
738,67,1,130652.52,1,0,1,22762.23,6,40.0,0.92,130652.52,0.025,2.773,0.5719,False,False,False,False,False,False,False,0.052119415,0,Active
662,20,9,104508.77,2,0,0,73107.53,12,14.2,0.69,0.0,0.07042253521126761,5.0900845070422545,0.1779,False,True,True,False,True,False,False,0.025844852,0,Dormant
555,44,3,105770.7,3,1,0,60533.96,10,44.1,0.53,0.0,0.022675736961451247,4.21653514739229,-0.5267,False,False,False,True,False,False,False,0.9967542,1,At Risk
531,27,8,132576.25,1,0,0,7222.92,3,8.5,0.76,0.0,0.11764705882352941,1.527529411764706,-0.5267,False,True,True,True,False,False,False,0.022333844,0,At Risk
593,32,9,134096.53,2,1,0,53931.05,2,7.5,0.8,0.0,0.13333333333333333,1.1466666666666667,0.0,True,False,False,True,False,False,False,0.014505564,1,At Risk
579,28,6,150329.15,1,1,0,145558.42,1,36.0,0.71,0.0,0.027777777777777776,0.6895555555555555,0.1779,True,False,True,False,False,False,True,0.6083379,0,New
706,32,6,94486.47,1,1,1,146949.74,8,54.5,0.57,566918.8200000001,0.01834862385321101,3.431669724770642,0.0,False,False,True,False,True,False,False,0.037809577,0,Dormant
754,28,8,0.0,2,1,1,52615.62,14,18.8,0.72,0.0,0.05319148936170213,5.898638297872341,-0.4585,False,False,True,False,True,False,False,0.006300885,0,Dormant
653,31,9,143321.97,1,1,0,83679.46,6,57.2,0.95,0.0,0.01748251748251748,2.7834965034965036,0.4754,True,False,True,False,True,False,False,0.28079522,0,Dormant
558,26,1,148853.29,2,1,1,24411.02,4,7.4,0.81,148853.29,0.13513513513513511,1.9510270270270271,0.4754,True,False,True,True,False,False,False,0.0020839493,0,At Risk
589,39,7,0.0,2,0,0,95985.64,2,26.0,0.79,0.0,0.038461538461538464,1.1236923076923078,0.5719,False,False,False,False,False,True,False,0.3546543,0,Lead
670,65,1,0.0,1,1,1,177655.68,2,45.2,0.81,0.0,0.022123893805309734,1.128424778761062,0.4215,False,True,False,False,False,True,False,0.30557185,1,Lead
714,35,6,126077.43,2,1,1,53954.24,9,59.5,0.91,756464.58,0.01680672268907563,3.967361344537815,-0.5267,True,False,False,False,False,False,True,0.2219491,0,New
547,51,1,0.0,2,1,1,56908.41,1,28.2,0.66,0.0,0.03546099290780142,0.6710921985815603,0.5719,False,False,False,True,False,False,False,0.27287176,0,At Risk
761,37,7,132730.17,1,1,0,199293.01,12,48.2,0.68,0.0,0.02074688796680498,5.076149377593362,-0.4585,False,True,True,True,False,False,False,0.10329894,0,At Risk
591,24,6,147360.0,1,1,1,25310.82,14,48.0,0.65,884160.0,0.020833333333333332,5.864166666666667,-0.5267,False,False,True,False,True,False,False,0.0080791125,0,Dormant
714,31,4,125169.26,1,1,1,106636.89,10,14.9,0.72,500677.04,0.06711409395973154,4.301422818791947,0.4754,False,False,False,False,False,False,True,0.028786939,0,New
629,35,7,156847.29,2,1,0,31824.29,9,30.0,0.58,0.0,0.03333333333333333,3.8386666666666667,-0.5267,True,False,True,False,False,False,False,0.05352855,0,Active
643,36,7,161064.64,2,0,1,84294.82,4,23.2,0.51,1127452.48,0.04310344827586207,1.8126206896551724,-0.1027,False,False,True,False,False,False,True,0.0066646016,0,New
445,38,6,119413.62,2,1,0,175756.36,13,42.0,0.5,0.0,0.023809523809523808,5.404761904761905,-0.1027,True,False,False,False,False,False,False,0.22914575,0,Active
501,34,3,107747.57,1,1,0,9249.36,7,6.6,0.9,0.0,0.15151515151515152,3.1903030303030304,-0.5267,False,False,False,False,False,False,False,0.018019412,0,Active
686,43,5,154846.24,2,1,1,151903.6,9,41.3,0.94,774231.2,0.02421307506053269,3.9808426150121066,-0.1027,True,False,False,False,False,False,True,0.043489512,0,New
500,30,2,125495.64,2,1,1,68807.47,2,28.1,0.9,250991.28,0.03558718861209964,1.16711743772242,0.5719,True,False,True,False,False,False,True,0.032820996,0,New
703,39,1,141559.5,1,1,1,31257.1,1,22.1,0.99,141559.5,0.04524886877828054,0.8050497737556561,0.4754,True,False,True,True,False,False,False,0.25036687,1,At Risk
730,34,5,122453.37,2,1,0,138882.98,12,39.2,0.7,0.0,0.02551020408163265,5.085102040816327,0.0,False,False,True,True,False,False,False,0.03149173,0,At Risk
433,27,2,0.0,2,1,1,153698.65,12,51.2,0.55,0.0,0.01953125,5.0239062500000005,0.5719,False,True,True,False,False,False,False,0.034469232,0,Active
521,41,8,120586.54,1,0,1,20491.15,6,53.7,0.9,964692.32,0.018621973929236497,2.7637243947858474,0.0,True,False,True,True,False,False,False,0.8812278,0,At Risk
791,33,10,130229.71,2,0,0,54019.93,12,51.9,0.84,0.0,0.01926782273603083,5.139853564547207,-0.5267,True,False,False,False,False,False,False,0.015674012,1,Active
757,38,0,0.0,1,1,0,83263.06,11,57.6,0.99,0.0,0.017361111111111112,4.799472222222223,0.5719,False,False,True,True,False,False,False,0.020234555,0,At Risk
447,44,5,89188.83,1,1,1,75408.24,8,47.2,0.57,445944.15,0.0211864406779661,3.4322372881355934,0.5719,False,False,False,True,False,False,False,0.20440942,0,At Risk
792,30,1,127187.86,1,1,1,113553.42,2,52.3,0.99,127187.86,0.019120458891013385,1.1998240917782028,0.1779,False,False,True,True,False,False,False,0.0022732357,0,At Risk
817,59,1,118962.58,1,1,1,120819.58,6,53.3,0.75,118962.58,0.01876172607879925,2.70375234521576,0.1779,False,False,True,False,False,True,False,0.5779895,0,Lead
607,33,8,91301.72,1,0,1,130824.57,15,32.2,0.66,730413.76,0.03105590062111801,6.270211180124224,-0.5267,False,False,False,False,False,True,False,0.03803437,0,Lead
601,41,1,123971.16,1,0,1,172814.99,1,32.6,0.93,123971.16,0.03067484662576687,0.7781349693251534,-0.1027,False,False,True,False,False,False,True,0.035003003,0,New
536,32,7,178011.5,2,1,0,22375.14,13,41.6,0.55,0.0,0.024038461538461536,5.424807692307692,-0.5267,False,False,True,False,False,True,False,0.029862985,0,Lead
554,36,3,157780.93,2,1,0,6089.13,2,11.6,0.62,0.0,0.08620689655172414,1.0652413793103448,-0.1027,True,False,False,False,False,False,False,0.077879615,0,Active
577,60,10,125389.7,2,1,1,178616.73,9,29.5,0.87,1253897.0,0.03389830508474576,3.954779661016949,-0.5267,False,False,True,False,False,False,False,0.10419852,0,Active
608,41,5,0.0,2,1,1,72462.25,10,17.0,0.65,0.0,0.058823529411764705,4.271764705882353,-0.1027,False,False,False,False,True,False,False,0.0756067,0,Dormant
732,33,8,0.0,1,1,0,119882.7,14,57.2,0.62,0.0,0.01748251748251748,5.851496503496504,0.4754,False,True,True,False,True,False,False,0.20913078,0,Dormant
789,53,1,158271.74,1,1,1,5036.39,13,38.8,0.9,158271.74,0.025773195876288662,5.565154639175258,0.0,False,False,False,True,False,False,False,0.12189409,1,At Risk
552,34,5,0.0,2,1,1,1351.41,6,8.6,0.66,0.0,0.11627906976744186,2.687255813953489,0.0,False,False,False,True,False,False,False,0.011111052,0,At Risk
621,40,10,163823.37,1,0,0,89519.47,3,15.9,0.68,0.0,0.06289308176100629,1.4845786163522015,-0.4585,False,False,True,True,False,False,False,0.1016929,0,At Risk
766,52,7,92510.9,2,0,1,66193.61,2,57.9,0.9,647576.2999999999,0.017271157167530225,1.1634542314335061,0.1779,False,False,False,False,True,False,False,0.4359762,0,Dormant
685,43,4,97392.18,2,1,0,43956.83,8,27.8,0.9,0.0,0.03597122302158273,3.5671942446043166,0.0,False,True,True,False,False,False,True,0.28226987,0,New
649,38,8,0.0,1,1,0,103760.53,6,8.6,0.83,0.0,0.11627906976744186,2.7552558139534886,-0.1027,False,True,False,False,False,False,False,0.34993312,0,Active
493,36,2,0.0,2,0,1,99770.3,5,21.3,0.56,0.0,0.046948356807511735,2.2333896713615027,0.5719,False,False,False,True,False,False,False,0.013657368,0,At Risk
633,35,10,0.0,2,1,0,65675.47,14,29.2,0.71,0.0,0.03424657534246575,5.890849315068493,0.0,False,False,True,False,False,True,False,0.013119986,0,Lead
742,33,1,137937.95,1,1,1,51387.1,11,20.5,0.73,137937.95,0.04878048780487805,4.701756097560976,0.5719,True,False,True,False,False,False,True,0.03586192,0,New
604,41,10,0.0,2,1,1,166224.39,9,8.3,0.58,0.0,0.12048192771084336,3.8560963855421684,-0.1027,False,True,False,False,False,False,False,0.07758847,0,Active
759,42,4,105420.18,1,0,1,121409.06,7,13.3,0.94,421680.72,0.07518796992481203,3.1910375939849627,0.4754,False,False,True,False,False,False,True,0.26851034,0,New
683,35,6,187530.66,2,1,1,37976.36,13,14.2,0.78,1125183.96,0.07042253521126761,5.526084507042254,0.4215,False,False,False,False,False,True,False,0.10823741,0,Lead
678,28,2,109137.12,1,1,1,58814.41,9,48.9,0.72,218274.24,0.02044989775051125,3.8920899795501023,0.1779,False,False,True,False,False,True,False,0.028884975,0,Lead
628,31,0,88421.81,1,0,0,72350.47,1,36.2,0.56,0.0,0.027624309392265192,0.6295248618784531,0.4754,False,False,True,False,False,False,False,0.09147821,0,Active
850,36,6,0.0,2,1,1,190194.95,4,27.1,0.59,0.0,0.03690036900369004,1.843380073800738,0.4754,False,False,False,True,False,False,False,0.0061708805,0,At Risk
724,34,2,0.0,2,1,1,118863.38,13,25.6,0.82,0.0,0.0390625,5.5358125000000005,-0.5267,False,False,False,False,False,False,True,0.012298563,0,New
828,31,9,0.0,1,0,1,164257.37,10,55.6,0.66,0.0,0.017985611510791366,4.267597122302159,0.4215,False,False,True,False,False,True,False,0.05239081,0,Lead
569,30,3,139528.23,1,1,1,33230.37,6,7.4,0.52,418584.69000000006,0.13513513513513511,2.6350270270270277,-0.5267,False,True,False,False,True,False,False,0.016010761,0,Dormant
677,49,3,0.0,2,1,1,187811.71,4,51.8,0.56,0.0,0.019305019305019305,1.827861003861004,-0.1027,False,False,False,False,False,True,False,0.00816793,0,Lead
495,38,2,63093.01,1,1,1,47089.72,8,29.3,0.63,126186.02,0.034129692832764506,3.458825938566553,0.0,False,False,False,True,False,False,False,0.25425956,0,At Risk
627,33,4,83199.05,1,0,0,159334.93,12,45.9,0.75,0.0,0.02178649237472767,5.104357298474946,-0.1027,True,False,False,False,False,False,True,0.120436326,0,New
597,36,9,0.0,2,1,1,7156.09,5,14.5,0.51,0.0,0.06896551724137931,2.217793103448276,0.5719,False,False,False,False,False,False,True,0.0050903116,0,New
762,31,7,117687.35,1,1,1,159344.43,10,43.4,0.94,823811.4500000001,0.02304147465437788,4.380608294930876,0.1779,False,False,True,False,False,False,True,0.020307923,0,New
476,69,1,105303.73,1,0,1,134260.34,4,46.4,0.82,105303.73,0.021551724137931036,1.9323103448275865,0.4215,False,True,False,False,False,False,False,0.048504494,0,Active
499,35,10,0.0,2,1,0,10722.54,13,27.5,0.54,0.0,0.03636363636363636,5.423272727272727,-0.4585,False,False,True,False,False,False,True,0.053641852,0,New
642,62,7,0.0,2,1,1,61120.75,3,16.8,0.89,0.0,0.05952380952380952,1.5679047619047621,0.4215,False,False,True,False,False,False,False,0.01453265,0,Active
562,62,3,0.0,2,1,0,105986.01,13,19.8,0.75,0.0,0.050505050505050504,5.51010101010101,0.1779,False,False,True,True,False,False,False,0.8861751,0,At Risk
542,25,7,0.0,2,0,1,82393.08,11,17.8,0.69,0.0,0.056179775280898875,4.68723595505618,0.4215,False,False,False,True,False,False,False,0.004092623,0,At Risk
